system,rank,power,rmax,efficiency,year,month,list_rank
"xSeries x3650 Cluster Xeon dual core 2.66 GHz, GigEthernet",115,320.79,17874.0,55.71869447301973,2008,6,31
"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",120,301.2,17567.1,58.32370517928287,2008,6,31
"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",121,299.42,17482.8,58.38888517801082,2008,6,31
"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",122,299.42,17482.8,58.38888517801082,2008,6,31
"BladeCenter HS21 Cluster, Xeon quad core 2.33 GHz, Infiniband",125,100.64,17140.0,170.31001589825118,2008,6,31
"xSeries x3455 Cluster Opteron, 2.6 GHz, Infiniband",127,404.04,17100.0,42.32254232254232,2008,6,31
"BladeCenter HS21 Cluster, Xeon dual core 2.66 GHz, GigEthernet",128,329.16,17088.8,51.916393243407455,2008,6,31
"Tachyon - Sun Blade 6000, Opteron QC 2.0 GHz, Infiniband 4x",130,129.6,16990.0,131.0956790123457,2008,6,31
"BladeCenter LS21, Opteron Dual Core 2.6 GHz, Infiniband",131,290.37,16906.0,58.22226814064814,2008,6,31
"RA - PowerEdge 1950, Xeon 53xx 2.66 GHz, Infiniband",133,128.0,16700.0,130.46875,2008,6,31
"Cluster Platform 3000 BL460c, Xeon 54xx 3.16 GHz, Infiniband",135,280.7,16584.0,59.08086925543285,2008,6,31
"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",136,280.7,16582.9,59.07695048094051,2008,6,31
"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",137,280.7,16582.9,59.07695048094051,2008,6,31
"Netuno - PowerEdge 1950, 2.66 GHz, Infiniband",138,130.0,16240.0,124.92307692307692,2008,6,31
"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",142,270.9,16101.2,59.43595422665191,2008,6,31
"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",143,269.12,16012.9,59.500966111771696,2008,6,31
"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",144,269.12,16012.9,59.500966111771696,2008,6,31
"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",145,269.12,16012.9,59.500966111771696,2008,6,31
"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",146,269.12,16012.9,59.500966111771696,2008,6,31
"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",147,269.12,16012.9,59.500966111771696,2008,6,31
"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",148,269.12,16012.9,59.500966111771696,2008,6,31
"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",151,265.56,15835.5,59.63059195661997,2008,6,31
"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",152,265.56,15835.5,59.63059195661997,2008,6,31
"BladeCenter LS20, Opteron 2.2 GHz Dual core, GigEthernet",157,393.6,15760.0,40.040650406504064,2008,6,31
"BladeCenter LS20, Opteron 2.2 GHz Dual core, GigEthernet",158,393.6,15760.0,40.040650406504064,2008,6,31
"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",159,263.77,15746.5,59.69784281760625,2008,6,31
"BladeCenter HS21 Cluster, Xeon dual core 2.66 GHz, GigEthernet",160,298.56,15733.3,52.69728027867095,2008,6,31
"BladeCenter HS21 Cluster, Xeon dual core 2.66 GHz, GigEthernet",161,298.56,15733.3,52.69728027867095,2008,6,31
"BladeCenter HS21 Cluster, Xeon dual core, 3.0 GHz, GigEthernet",162,309.73,15732.5,50.7942401446421,2008,6,31
"BladeCenter HS21 Cluster, Xeon quad core 2.33 GHz, Infiniband",169,85.52,15328.5,179.2387745556595,2008,6,31
"BladeCenter HS21 Cluster, Xeon dual core 2.66 GHz, GigEthernet",171,294.08,15160.0,51.55059847660501,2008,6,31
"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",173,250.41,15071.4,60.186893494668745,2008,6,31
"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",174,248.62,14980.4,60.254203201673235,2008,6,31
"BladeCenter HS21 Cluster, Xeon quad core 2.66 GHz, Infiniband",178,95.54,14910.0,156.06028888423697,2008,6,31
"BladeCenter LS20, Opteron 2.2 GHz Dual core, GigEthernet",182,369.0,14775.0,40.040650406504064,2008,6,31
"Power 575, p6 4.7 GHz, Infiniband",183,153.43,14668.8,95.60581372612917,2008,6,31
"BladeCenter HS21 Cluster, Xeon dual core, 3 GHz, GigEthernet",185,280.74,14528.3,51.75001781007337,2008,6,31
