"Идентификатор"
"alignas"
"alignof"
"auto"
"bool"
"break"
"case"
"catch"
"char"
"class"
"const"
"constexpr"
"const_cast"
"continue"
"decltype"
"default"
"delete"
"do-while"
"double"
"dynamic_cast"
"else"
"else if"
"enum"
"explicit"
"extern"
"false"
"final"
"float"
"for"
"friend"
"goto"
"if"
"inline"
"int "
"long"
"mutable"
"namespace"
"new"
"noexcept"
"nullptr"
"operator"
"override"
"private"
"protected"
"public"
"register"
"reinterpret_cast"
"return"
"short"
"sizeof"
"static"
"static_assert"
"static_cast"
"string"
"struct"
"switch"
"template"
"this"
"thread_local"
"throw"
"true"
"try"
"typedef"
"typeid"
"typename"
"union"
"using"
"virtual"
"void"
"volatile"
"wchar_t"
"while"
"_asm"
